English,German
Good morning,Guten Morgen
Good evening,Guten Abend
Good night,Gute Nacht
How are you?,Wie geht's?
Thank you,Danke
You're welcome,Gern geschehen
Please,Bitte
Excuse me,Entschuldigung
I'm sorry,Es tut mir leid
My name is...,Mein Name ist...
What is your name?,Wie heißt du?
Nice to meet you,Freut mich
I don't understand,Ich verstehe nicht
Do you speak English?,Sprechen Sie Englisch?
How much does it cost?,Wie viel kostet das?
Where is the bathroom?,Wo ist die Toilette?
Help!,Hilfe!
I need help,Ich brauche Hilfe
Call the police,Rufen Sie die Polizei
See you later,Bis später
Goodbye,Auf Wiedersehen
Happy Birthday,Alles Gute zum Geburtstag
Congratulations,Herzlichen Glückwunsch
Cheers,Prost
